language,model_type,model_subtype,model_name,unit_of_analysis,index,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
fr,XGBoost,No Upsampling,XGBoost_narrow,title,57,0.6239437785594529,0.5403049443207776,0.2958579881656805,0.8966182625118302,0.8883881949415605,0.500990099009901,0.4131657540945466,0.1991615486774419,0.1480840162151817,0.0238095238095238,0.3512142178808845,0.2449328449328449,0.1666666666666666,0.1289687693259122
fr,XGBoost,No Upsampling,XGBoost_narrow,title_and_10_sentences,55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2707136238914467,0.1823135001126887,0.0238095238095238,0.3631533589866924,0.2391955266955267,0.246031746031746,0.1718491032776747
fr,XGBoost,No Upsampling,XGBoost_narrow,title_and_5_sentences,55,0.9979695928776552,0.996377771887976,0.9881656804733728,1.0,1.0,0.996039603960396,0.9929411764705884,0.2938662367073161,0.2393924289672843,0.0,0.4026455026455026,0.3512987012987013,0.2698412698412698,0.2159075448361162
fr,XGBoost,No Upsampling,XGBoost_narrow,title_and_first_paragraph,55,0.9939295195028216,0.9906296212749864,0.9763313609467456,1.0,1.0,0.988118811881188,0.9817404724127412,0.3003780704917542,0.240467544206593,0.0238095238095238,0.3961415568558425,0.3180355358926787,0.3333333333333333,0.2685544217687075
fr,XGBoost,No Upsampling,XGBoost_narrow,title_and_first_sentence_each_paragraph,55,0.9969826954493564,0.9966087431321312,0.9881656804733728,1.0,1.0,0.994059405940594,0.9933439367649892,0.3095919386026637,0.245641952997607,0.0238095238095238,0.3713560404736875,0.2893895320365908,0.3095238095238095,0.2493197278911565
fr,XGBoost,Random Oversampling,XGBoost_narrow_ROS,raw_text,58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3979967130597382,0.2880017986215465,0.0238095238095238,0.5099521289997481,0.3755668934240362,0.373015873015873,0.2731771799628942
fr,XGBoost,Random Oversampling,XGBoost_narrow_ROS,title,58,0.8731105318298237,0.90741810761375,0.5857988165680473,0.9301380977877628,0.940388321098487,0.8277227722772277,0.8823962378473655,0.2372589563709689,0.2082984534810092,0.0,0.3385692239858906,0.2635912698412698,0.2301587301587301,0.2084863945578231
fr,XGBoost,Random Oversampling,XGBoost_narrow_ROS,title_and_10_sentences,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3028758221040651,0.234958558135898,0.0,0.3939453559201458,0.2949379751900761,0.2777777777777778,0.2201932591218305
fr,XGBoost,Random Oversampling,XGBoost_narrow_ROS,title_and_5_sentences,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3125844188606942,0.2530712669643666,0.0238095238095238,0.4165499533146592,0.3584087481146304,0.2936507936507936,0.2340708101422386
fr,XGBoost,Random Oversampling,XGBoost_narrow_ROS,title_and_first_paragraph,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3166110751206858,0.2372802171266384,0.0238095238095238,0.3562544763154312,0.2812234759556735,0.373015873015873,0.2842424242424242
